Protein,Model,HR_95CI,P,FDR,HR,lower,upper
A1BG,Model 0,"1.37(1.02,1.84)",0.038899777,0.0621375,1.37,1.02,1.84
AAMDC,Model 0,"1.10(0.99,1.22)",0.074607453,0.111206618,1.1,0.99,1.22
AARSD1,Model 0,"1.60(1.49,1.73)",3.18E-34,3.10E-33,1.6,1.49,1.73
ABCA2,Model 0,"1.39(1.21,1.60)",2.45E-06,6.46E-06,1.39,1.21,1.6
ABHD14B,Model 0,"1.21(1.11,1.31)",3.45E-06,8.92E-06,1.21,1.11,1.31
ABL1,Model 0,"1.23(1.15,1.31)",1.56E-10,5.87E-10,1.23,1.15,1.31
ABO,Model 0,"0.99(0.95,1.03)",0.520035659,0.598779229,0.99,0.95,1.03
ABRAXAS2,Model 0,"1.13(1.04,1.23)",0.002865139,0.005500465,1.13,1.04,1.23
ACAA1,Model 0,"1.07(1.01,1.13)",0.023788624,0.039178106,1.07,1.01,1.13
ACADM,Model 0,"0.94(0.87,1.03)",0.166547415,0.227434394,0.94,0.87,1.03
ACADSB,Model 0,"1.03(0.97,1.09)",0.388783333,0.468723093,1.03,0.97,1.09
ACAN,Model 0,"1.69(1.45,1.97)",3.05E-11,1.20E-10,1.69,1.45,1.97
ACE,Model 0,"1.22(0.99,1.50)",0.059496464,0.091148833,1.22,0.99,1.5
ACE2,Model 0,"1.30(1.21,1.41)",4.77E-12,1.95E-11,1.3,1.21,1.41
ACHE,Model 0,"1.26(1.08,1.48)",0.00307204,0.005874497,1.26,1.08,1.48
ACOT13,Model 0,"1.07(1.02,1.12)",0.007542487,0.013626287,1.07,1.02,1.12
ACOX1,Model 0,"1.19(1.09,1.31)",0.000117213,0.000262068,1.19,1.09,1.31
ACP1,Model 0,"1.18(1.05,1.33)",0.004963397,0.00922541,1.18,1.05,1.33
ACP5,Model 0,"1.51(1.33,1.72)",1.95E-10,7.30E-10,1.51,1.33,1.72
ACP6,Model 0,"1.18(1.09,1.27)",2.34E-05,5.66E-05,1.18,1.09,1.27
ACRBP,Model 0,"1.31(1.15,1.49)",3.44E-05,8.18E-05,1.31,1.15,1.49
ACRV1,Model 0,"1.12(1.07,1.17)",7.41E-07,2.05E-06,1.12,1.07,1.17
ACSL1,Model 0,"0.83(0.70,0.98)",0.030772969,0.050031777,0.83,0.7,0.98
ACTA2,Model 0,"1.77(1.66,1.90)",1.38E-60,2.67E-59,1.77,1.66,1.9
ACTN2,Model 0,"1.23(1.13,1.33)",1.01E-06,2.76E-06,1.23,1.13,1.33
ACTN4,Model 0,"1.28(1.12,1.45)",0.000200537,0.000435691,1.28,1.12,1.45
ACVRL1,Model 0,"4.30(3.72,4.96)",5.58E-88,2.20E-86,4.3,3.72,4.96
ACY1,Model 0,"1.19(1.11,1.27)",1.58E-07,4.60E-07,1.19,1.11,1.27
ACY3,Model 0,"1.29(1.17,1.41)",8.11E-08,2.42E-07,1.29,1.17,1.41
ACYP1,Model 0,"1.19(1.10,1.29)",2.74E-05,6.57E-05,1.19,1.1,1.29
ADA,Model 0,"1.58(1.41,1.77)",6.96E-15,3.32E-14,1.58,1.41,1.77
ADA2,Model 0,"2.23(2.03,2.45)",4.31E-62,9.04E-61,2.23,2.03,2.45
ADAM12,Model 0,"1.60(1.44,1.77)",8.96E-20,5.09E-19,1.6,1.44,1.77
ADAM15,Model 0,"1.89(1.63,2.21)",2.42E-16,1.22E-15,1.89,1.63,2.21
ADAM22,Model 0,"1.73(1.52,1.97)",2.72E-16,1.37E-15,1.73,1.52,1.97
ADAM23,Model 0,"1.48(1.29,1.71)",4.74E-08,1.45E-07,1.48,1.29,1.71
ADAM8,Model 0,"3.46(3.09,3.87)",8.62E-103,4.84E-101,3.46,3.09,3.87
ADAM9,Model 0,"2.75(2.41,3.15)",2.52E-49,3.81E-48,2.75,2.41,3.15
ADAMTS1,Model 0,"1.45(1.25,1.68)",5.36E-07,1.50E-06,1.45,1.25,1.68
ADAMTS13,Model 0,"0.56(0.46,0.67)",1.87E-09,6.41E-09,0.56,0.46,0.67
ADAMTS15,Model 0,"1.33(1.20,1.47)",6.68E-08,2.01E-07,1.33,1.2,1.47
ADAMTS16,Model 0,"1.42(1.30,1.57)",3.05E-13,1.33E-12,1.42,1.3,1.57
ADAMTS4,Model 0,"1.52(1.33,1.73)",3.36E-10,1.24E-09,1.52,1.33,1.73
ADAMTS8,Model 0,"0.88(0.79,0.97)",0.012091022,0.020965431,0.88,0.79,0.97
ADAMTSL2,Model 0,"1.52(1.31,1.76)",2.05E-08,6.40E-08,1.52,1.31,1.76
ADAMTSL4,Model 0,"1.46(1.17,1.83)",0.000922531,0.001877206,1.46,1.17,1.83
ADAMTSL5,Model 0,"0.75(0.65,0.86)",4.71E-05,0.000109466,0.75,0.65,0.86
ADCYAP1R1,Model 0,"0.93(0.80,1.08)",0.351316339,0.429582793,0.93,0.8,1.08
ADD1,Model 0,"1.04(0.97,1.13)",0.283087795,0.357224011,1.04,0.97,1.13
ADGRB3,Model 0,"1.50(1.31,1.72)",9.61E-09,3.09E-08,1.5,1.31,1.72
ADGRD1,Model 0,"1.34(1.19,1.52)",3.50E-06,9.04E-06,1.34,1.19,1.52
ADGRE1,Model 0,"1.69(1.54,1.84)",4.92E-31,4.15E-30,1.69,1.54,1.84
ADGRE2,Model 0,"2.95(2.55,3.40)",5.52E-49,8.27E-48,2.95,2.55,3.4
ADGRE5,Model 0,"2.54(2.30,2.80)",1.10E-77,3.56E-76,2.54,2.3,2.8
ADGRF5,Model 0,"1.73(1.43,2.09)",1.06E-08,3.41E-08,1.73,1.43,2.09
ADGRG1,Model 0,"1.42(1.36,1.49)",3.35E-53,5.65E-52,1.42,1.36,1.49
ADGRG2,Model 0,"0.64(0.55,0.74)",1.36E-09,4.75E-09,0.64,0.55,0.74
ADGRV1,Model 0,"0.99(0.91,1.07)",0.737141148,0.795415573,0.99,0.91,1.07
ADH1B,Model 0,"1.05(0.98,1.12)",0.174263654,0.23612523,1.05,0.98,1.12
ADH4,Model 0,"1.10(1.05,1.16)",0.000137908,0.000305532,1.1,1.05,1.16
ADIPOQ,Model 0,"1.03(0.96,1.10)",0.403978631,0.483449837,1.03,0.96,1.1
ADM,Model 0,"3.81(3.29,4.42)",4.03E-71,1.12E-69,3.81,3.29,4.42
ADRA2A,Model 0,"0.96(0.89,1.04)",0.341613362,0.41982787,0.96,0.89,1.04
AFAP1,Model 0,"1.06(1.00,1.13)",0.070480773,0.105703059,1.06,1,1.13
AFM,Model 0,"0.93(0.72,1.20)",0.567066741,0.642294369,0.93,0.72,1.2
AFP,Model 0,"1.14(1.07,1.22)",8.08E-05,0.000183992,1.14,1.07,1.22
AGBL2,Model 0,"0.99(0.93,1.05)",0.632445125,0.701116084,0.99,0.93,1.05
AGER,Model 0,"1.08(0.96,1.20)",0.18591719,0.249828898,1.08,0.96,1.2
AGR2,Model 0,"1.19(1.14,1.25)",1.29E-13,5.74E-13,1.19,1.14,1.25
AGR3,Model 0,"1.07(0.99,1.16)",0.091051479,0.133134862,1.07,0.99,1.16
AGRN,Model 0,"2.38(2.14,2.66)",6.01E-55,1.06E-53,2.38,2.14,2.66
AGRP,Model 0,"1.26(1.16,1.37)",1.69E-07,4.90E-07,1.26,1.16,1.37
AGT,Model 0,"0.72(0.56,0.94)",0.017029351,0.028960806,0.72,0.56,0.94
AGXT,Model 0,"1.11(1.05,1.17)",0.000334995,0.000710375,1.11,1.05,1.17
AHCY,Model 0,"1.27(1.19,1.36)",6.40E-13,2.74E-12,1.27,1.19,1.36
AHNAK,Model 0,"2.04(1.79,2.32)",3.54E-27,2.62E-26,2.04,1.79,2.32
AHNAK2,Model 0,"1.44(1.22,1.70)",2.32E-05,5.60E-05,1.44,1.22,1.7
AHSA1,Model 0,"1.06(0.98,1.14)",0.166685406,0.227434394,1.06,0.98,1.14
AHSG,Model 0,"1.35(1.11,1.65)",0.00316072,0.006036168,1.35,1.11,1.65
AHSP,Model 0,"1.14(1.08,1.20)",6.03E-07,1.68E-06,1.14,1.08,1.2
AIDA,Model 0,"1.04(0.98,1.11)",0.239053401,0.309550302,1.04,0.98,1.11
AIF1,Model 0,"1.22(1.12,1.33)",1.26E-05,3.12E-05,1.22,1.12,1.33
AIF1L,Model 0,"1.01(0.92,1.12)",0.783328841,0.83417951,1.01,0.92,1.12
AIFM1,Model 0,"1.13(1.08,1.18)",2.99E-08,9.24E-08,1.13,1.08,1.18
AK1,Model 0,"1.22(1.14,1.31)",6.59E-09,2.15E-08,1.22,1.14,1.31
AK2,Model 0,"1.04(0.99,1.10)",0.111275915,0.159433598,1.04,0.99,1.1
AKAP12,Model 0,"1.26(0.99,1.61)",0.057601382,0.08861751,1.26,0.99,1.61
AKR1B1,Model 0,"1.14(1.08,1.22)",1.59E-05,3.92E-05,1.14,1.08,1.22
AKR1B10,Model 0,"0.98(0.90,1.08)",0.735280965,0.794016427,0.98,0.9,1.08
AKR1C4,Model 0,"1.05(0.97,1.15)",0.245460712,0.316583603,1.05,0.97,1.15
AKR7L,Model 0,"1.12(1.04,1.21)",0.00262947,0.005071369,1.12,1.04,1.21
AKT1S1,Model 0,"1.19(1.11,1.27)",2.08E-06,5.49E-06,1.19,1.11,1.27
AKT2,Model 0,"1.01(0.97,1.06)",0.566694393,0.642121702,1.01,0.97,1.06
AKT3,Model 0,"0.97(0.90,1.06)",0.532784081,0.611628835,0.97,0.9,1.06
ALCAM,Model 0,"2.97(2.40,3.68)",1.96E-23,1.30E-22,2.97,2.4,3.68
ALDH1A1,Model 0,"1.19(1.10,1.28)",1.19E-05,2.95E-05,1.19,1.1,1.28
ALDH2,Model 0,"1.07(0.97,1.18)",0.160103884,0.219691419,1.07,0.97,1.18
ALDH3A1,Model 0,"1.14(1.07,1.21)",3.90E-05,9.17E-05,1.14,1.07,1.21
ALDH5A1,Model 0,"1.30(1.17,1.45)",1.08E-06,2.92E-06,1.3,1.17,1.45
ALMS1,Model 0,"1.08(0.96,1.21)",0.227928457,0.298453405,1.08,0.96,1.21
ALPI,Model 0,"1.01(0.97,1.06)",0.568160004,0.642784662,1.01,0.97,1.06
ALPP,Model 0,"1.11(1.07,1.15)",2.80E-08,8.67E-08,1.11,1.07,1.15
AMBN,Model 0,"1.04(0.87,1.23)",0.675715736,0.741484385,1.04,0.87,1.23
AMBP,Model 0,"4.21(3.44,5.17)",1.75E-43,2.25E-42,4.21,3.44,5.17
AMDHD2,Model 0,"1.18(0.95,1.47)",0.129985503,0.182129399,1.18,0.95,1.47
AMFR,Model 0,"1.12(1.04,1.19)",0.001815414,0.003557724,1.12,1.04,1.19
AMIGO1,Model 0,"0.95(0.84,1.06)",0.348379692,0.426983906,0.95,0.84,1.06
AMIGO2,Model 0,"3.00(2.45,3.68)",5.64E-26,4.03E-25,3,2.45,3.68
AMN,Model 0,"1.21(1.10,1.33)",0.000121433,0.00027109,1.21,1.1,1.33
AMOT,Model 0,"0.95(0.84,1.08)",0.463786962,0.543006387,0.95,0.84,1.08
AMOTL2,Model 0,"1.13(1.02,1.26)",0.018241628,0.030824974,1.13,1.02,1.26
AMPD3,Model 0,"1.25(1.17,1.35)",9.58E-10,3.40E-09,1.25,1.17,1.35
AMY1A_AMY1B_AMY1C,Model 0,"1.03(0.92,1.15)",0.576396522,0.650472948,1.03,0.92,1.15
AMY2A,Model 0,"1.01(0.91,1.11)",0.848854679,0.886152176,1.01,0.91,1.11
AMY2B,Model 0,"1.02(0.92,1.13)",0.687406561,0.750926734,1.02,0.92,1.13
ANG,Model 0,"1.56(1.38,1.76)",8.32E-13,3.54E-12,1.56,1.38,1.76
ANGPT1,Model 0,"0.99(0.93,1.04)",0.626831347,0.697275251,0.99,0.93,1.04
ANGPT2,Model 0,"1.86(1.67,2.08)",4.45E-29,3.48E-28,1.86,1.67,2.08
ANGPTL1,Model 0,"1.40(1.19,1.63)",3.16E-05,7.53E-05,1.4,1.19,1.63
ANGPTL2,Model 0,"1.66(1.49,1.84)",5.58E-20,3.21E-19,1.66,1.49,1.84
ANGPTL3,Model 0,"1.37(1.22,1.55)",2.81E-07,8.03E-07,1.37,1.22,1.55
ANGPTL4,Model 0,"1.77(1.61,1.95)",1.28E-30,1.06E-29,1.77,1.61,1.95
ANGPTL7,Model 0,"1.32(1.17,1.49)",5.90E-06,1.50E-05,1.32,1.17,1.49
ANK2,Model 0,"0.90(0.83,0.98)",0.02001457,0.033491429,0.9,0.83,0.98
ANKMY2,Model 0,"1.03(0.96,1.11)",0.347497763,0.426162733,1.03,0.96,1.11
ANKRA2,Model 0,"1.00(0.90,1.10)",0.958605734,0.969899079,1,0.9,1.1
ANKRD54,Model 0,"1.17(1.09,1.26)",2.35E-05,5.68E-05,1.17,1.09,1.26
ANP32C,Model 0,"1.02(0.89,1.17)",0.779763212,0.831595537,1.02,0.89,1.17
ANPEP,Model 0,"0.95(0.80,1.12)",0.53875226,0.616199216,0.95,0.8,1.12
ANXA1,Model 0,"1.29(1.16,1.43)",9.61E-07,2.62E-06,1.29,1.16,1.43
ANXA10,Model 0,"1.22(1.16,1.28)",1.19E-13,5.30E-13,1.22,1.16,1.28
ANXA11,Model 0,"1.01(0.94,1.08)",0.80049711,0.847802561,1.01,0.94,1.08
ANXA2,Model 0,"1.40(1.31,1.49)",6.62E-27,4.87E-26,1.4,1.31,1.49
ANXA3,Model 0,"1.04(0.97,1.11)",0.295779792,0.3705178,1.04,0.97,1.11
ANXA4,Model 0,"1.04(0.97,1.11)",0.240842512,0.311590666,1.04,0.97,1.11
ANXA5,Model 0,"1.42(1.23,1.65)",2.49E-06,6.53E-06,1.42,1.23,1.65
AOC1,Model 0,"0.98(0.90,1.07)",0.615182943,0.687723658,0.98,0.9,1.07
AOC3,Model 0,"1.34(1.16,1.56)",8.64E-05,0.000196139,1.34,1.16,1.56
AP1G2,Model 0,"1.06(1.00,1.14)",0.064242101,0.097397163,1.06,1,1.14
AP2B1,Model 0,"1.21(1.09,1.35)",0.00038099,0.000804403,1.21,1.09,1.35
AP3B1,Model 0,"1.13(1.06,1.21)",0.000457091,0.00095884,1.13,1.06,1.21
AP3S2,Model 0,"1.15(1.03,1.29)",0.011464867,0.019986514,1.15,1.03,1.29
APBB1IP,Model 0,"1.60(1.49,1.72)",2.10E-36,2.22E-35,1.6,1.49,1.72
APCS,Model 0,"1.19(1.04,1.37)",0.01255029,0.021735971,1.19,1.04,1.37
APEX1,Model 0,"1.50(1.40,1.61)",4.19E-31,3.55E-30,1.5,1.4,1.61
APLP1,Model 0,"0.81(0.74,0.89)",4.30E-06,1.11E-05,0.81,0.74,0.89
APOA1,Model 0,"0.65(0.53,0.80)",4.42E-05,0.000103177,0.65,0.53,0.8
APOA2,Model 0,"1.38(1.24,1.54)",2.23E-09,7.62E-09,1.38,1.24,1.54
APOA4,Model 0,"1.23(1.07,1.41)",0.003953627,0.007438525,1.23,1.07,1.41
APOB,Model 0,"1.14(0.90,1.46)",0.283681955,0.35766464,1.14,0.9,1.46
APOBR,Model 0,"0.84(0.74,0.95)",0.006966049,0.012659656,0.84,0.74,0.95
APOC1,Model 0,"0.64(0.55,0.74)",1.12E-09,3.94E-09,0.64,0.55,0.74
APOD,Model 0,"0.78(0.68,0.91)",0.001290706,0.002581412,0.78,0.68,0.91
APOE,Model 0,"1.03(0.95,1.10)",0.478157726,0.556706763,1.03,0.95,1.1
APOF,Model 0,"0.97(0.82,1.14)",0.705786819,0.767567435,0.97,0.82,1.14
APOH,Model 0,"1.18(1.04,1.33)",0.011783969,0.0205183,1.18,1.04,1.33
APOL1,Model 0,"0.88(0.80,0.96)",0.005773379,0.010642845,0.88,0.8,0.96
APOM,Model 0,"0.50(0.42,0.58)",5.08E-18,2.71E-17,0.5,0.42,0.58
APP,Model 0,"1.02(0.95,1.09)",0.605155596,0.678592296,1.02,0.95,1.09
APPL2,Model 0,"0.95(0.91,1.00)",0.055037003,0.085030713,0.95,0.91,1
APRT,Model 0,"1.49(1.34,1.65)",1.95E-14,9.09E-14,1.49,1.34,1.65
ARAF,Model 0,"1.07(0.99,1.16)",0.08966394,0.131237446,1.07,0.99,1.16
AREG,Model 0,"1.56(1.43,1.71)",5.44E-23,3.51E-22,1.56,1.43,1.71
ARF6,Model 0,"1.06(1.01,1.12)",0.01744531,0.02956489,1.06,1.01,1.12
ARFIP1,Model 0,"1.04(0.96,1.13)",0.324620603,0.401230467,1.04,0.96,1.13
ARG1,Model 0,"1.20(1.10,1.31)",4.36E-05,0.000101952,1.2,1.1,1.31
ARG2,Model 0,"1.05(0.93,1.19)",0.394849291,0.474664443,1.05,0.93,1.19
ARHGAP1,Model 0,"1.14(1.03,1.26)",0.01365713,0.023569042,1.14,1.03,1.26
ARHGAP25,Model 0,"1.26(1.17,1.35)",1.68E-10,6.34E-10,1.26,1.17,1.35
ARHGAP30,Model 0,"1.12(0.98,1.27)",0.0905126,0.132413222,1.12,0.98,1.27
ARHGAP45,Model 0,"1.03(0.97,1.10)",0.349605355,0.427848967,1.03,0.97,1.1
ARHGAP5,Model 0,"1.08(1.00,1.15)",0.039093876,0.062413405,1.08,1,1.15
ARHGEF1,Model 0,"1.06(0.99,1.12)",0.079719287,0.117803805,1.06,0.99,1.12
ARHGEF10,Model 0,"1.06(1.00,1.13)",0.037985519,0.060843508,1.06,1,1.13
ARHGEF12,Model 0,"1.04(1.00,1.09)",0.069270649,0.104209323,1.04,1,1.09
ARHGEF5,Model 0,"1.13(1.05,1.21)",0.000655384,0.001351498,1.13,1.05,1.21
ARID3A,Model 0,"1.01(0.88,1.16)",0.910043107,0.933049815,1.01,0.88,1.16
ARID4B,Model 0,"1.25(1.14,1.37)",1.71E-06,4.54E-06,1.25,1.14,1.37
ARL13B,Model 0,"0.99(0.91,1.07)",0.80433045,0.850135816,0.99,0.91,1.07
ARL2BP,Model 0,"1.09(0.95,1.25)",0.210441522,0.278301288,1.09,0.95,1.25
ARMCX2,Model 0,"0.95(0.86,1.05)",0.295531528,0.370365692,0.95,0.86,1.05
ARNT,Model 0,"1.11(0.98,1.25)",0.096141013,0.139455681,1.11,0.98,1.25
ARNTL,Model 0,"0.98(0.87,1.09)",0.685926547,0.749871028,0.98,0.87,1.09
ARSA,Model 0,"1.40(1.28,1.54)",9.89E-13,4.19E-12,1.4,1.28,1.54
ARSB,Model 0,"1.28(1.18,1.39)",1.52E-09,5.26E-09,1.28,1.18,1.39
ART3,Model 0,"1.40(1.23,1.58)",1.06E-07,3.15E-07,1.4,1.23,1.58
ART5,Model 0,"0.98(0.89,1.07)",0.625891427,0.696760567,0.98,0.89,1.07
ARTN,Model 0,"1.13(1.03,1.24)",0.008921376,0.015894093,1.13,1.03,1.24
ASAH1,Model 0,"1.45(1.32,1.59)",5.64E-15,2.70E-14,1.45,1.32,1.59
ASAH2,Model 0,"0.85(0.78,0.92)",3.44E-05,8.17E-05,0.85,0.78,0.92
ASGR1,Model 0,"2.35(2.07,2.67)",8.88E-40,1.06E-38,2.35,2.07,2.67
ASGR2,Model 0,"2.53(2.09,3.06)",1.09E-21,6.80E-21,2.53,2.09,3.06
ASPN,Model 0,"0.88(0.72,1.08)",0.220098965,0.289891285,0.88,0.72,1.08
ASPSCR1,Model 0,"1.15(1.06,1.24)",0.000537421,0.001116918,1.15,1.06,1.24
ASRGL1,Model 0,"1.02(0.96,1.07)",0.555625478,0.633265573,1.02,0.96,1.07
ASS1,Model 0,"0.99(0.93,1.06)",0.76929758,0.822537141,0.99,0.93,1.06
ATF2,Model 0,"0.93(0.86,1.01)",0.077248138,0.114791127,0.93,0.86,1.01
ATF4,Model 0,"1.08(0.92,1.27)",0.36710384,0.447015519,1.08,0.92,1.27
ATG16L1,Model 0,"1.10(1.03,1.17)",0.003615323,0.00685058,1.1,1.03,1.17
ATG4A,Model 0,"1.23(1.14,1.33)",8.26E-08,2.46E-07,1.23,1.14,1.33
ATOX1,Model 0,"1.33(1.24,1.42)",6.33E-17,3.25E-16,1.33,1.24,1.42
ATP1B1,Model 0,"1.14(1.03,1.25)",0.010751214,0.018866314,1.14,1.03,1.25
ATP1B2,Model 0,"1.01(0.85,1.21)",0.87936935,0.91055266,1.01,0.85,1.21
ATP1B3,Model 0,"0.90(0.78,1.05)",0.17125357,0.232694474,0.9,0.78,1.05
ATP1B4,Model 0,"0.97(0.85,1.11)",0.683279383,0.74753683,0.97,0.85,1.11
ATP2B4,Model 0,"0.99(0.91,1.08)",0.838253735,0.877544886,0.99,0.91,1.08
ATP5F1D,Model 0,"0.98(0.88,1.10)",0.748372896,0.804879873,0.98,0.88,1.1
ATP5IF1,Model 0,"1.04(1.00,1.08)",0.067379932,0.101574291,1.04,1,1.08
ATP5PO,Model 0,"1.02(0.92,1.15)",0.665672876,0.731839156,1.02,0.92,1.15
ATP6AP2,Model 0,"1.31(1.19,1.43)",1.72E-08,5.43E-08,1.31,1.19,1.43
ATP6V1D,Model 0,"1.34(1.15,1.56)",0.000183883,0.0004016,1.34,1.15,1.56
ATP6V1F,Model 0,"1.15(1.08,1.23)",4.21E-05,9.87E-05,1.15,1.08,1.23
ATP6V1G1,Model 0,"1.26(1.17,1.36)",3.55E-10,1.30E-09,1.26,1.17,1.36
ATP6V1G2,Model 0,"1.07(1.01,1.13)",0.02147469,0.035750339,1.07,1.01,1.13
ATRAID,Model 0,"1.74(1.63,1.87)",2.71E-54,4.69E-53,1.74,1.63,1.87
ATRN,Model 0,"1.06(0.77,1.46)",0.720211348,0.779472623,1.06,0.77,1.46
ATXN10,Model 0,"1.12(1.05,1.20)",0.000639184,0.001319956,1.12,1.05,1.2
ATXN2,Model 0,"0.98(0.93,1.03)",0.376520219,0.456198771,0.98,0.93,1.03
ATXN2L,Model 0,"1.17(1.05,1.29)",0.003822784,0.007210937,1.17,1.05,1.29
ATXN3,Model 0,"1.22(1.12,1.33)",2.94E-06,7.66E-06,1.22,1.12,1.33
AXIN1,Model 0,"1.04(1.00,1.10)",0.076069644,0.113212721,1.04,1,1.1
AXL,Model 0,"2.42(2.07,2.83)",3.02E-28,2.30E-27,2.42,2.07,2.83
AZI2,Model 0,"1.09(1.00,1.20)",0.062007094,0.094499329,1.09,1,1.2
AZU1,Model 0,"1.08(1.02,1.14)",0.009639898,0.017093158,1.08,1.02,1.14
B2M,Model 0,"1.71(1.62,1.82)",1.21E-75,3.69E-74,1.71,1.62,1.82
B3GAT3,Model 0,"1.09(0.84,1.43)",0.511310177,0.590529987,1.09,0.84,1.43
B3GNT7,Model 0,"2.15(1.86,2.49)",1.60E-24,1.10E-23,2.15,1.86,2.49
B4GALT1,Model 0,"4.30(3.72,4.97)",1.74E-87,6.77E-86,4.3,3.72,4.97
B4GAT1,Model 0,"0.91(0.76,1.09)",0.303671224,0.379264317,0.91,0.76,1.09
BABAM1,Model 0,"1.12(0.93,1.35)",0.227916735,0.298453405,1.12,0.93,1.35
BACH1,Model 0,"1.17(1.10,1.24)",4.40E-07,1.25E-06,1.17,1.1,1.24
BAG3,Model 0,"1.22(1.09,1.37)",0.000819339,0.001674226,1.22,1.09,1.37
BAG4,Model 0,"1.40(1.27,1.54)",8.93E-12,3.61E-11,1.4,1.27,1.54
BAG6,Model 0,"1.51(1.33,1.71)",8.14E-11,3.12E-10,1.51,1.33,1.71
BAIAP2,Model 0,"1.27(1.18,1.36)",4.70E-12,1.93E-11,1.27,1.18,1.36
BAMBI,Model 0,"2.54(2.26,2.85)",4.03E-56,7.26E-55,2.54,2.26,2.85
BANK1,Model 0,"1.06(1.01,1.11)",0.008910256,0.015883973,1.06,1.01,1.11
BAP18,Model 0,"1.39(1.32,1.46)",6.96E-33,6.35E-32,1.39,1.32,1.46
BATF,Model 0,"1.05(0.99,1.12)",0.130657641,0.182983364,1.05,0.99,1.12
BAX,Model 0,"1.18(1.12,1.24)",3.22E-10,1.19E-09,1.18,1.12,1.24
BCAM,Model 0,"2.61(2.20,3.09)",8.04E-29,6.25E-28,2.61,2.2,3.09
BCAN,Model 0,"0.61(0.54,0.69)",1.87E-14,8.78E-14,0.61,0.54,0.69
BCAT1,Model 0,"1.95(1.71,2.22)",2.78E-24,1.88E-23,1.95,1.71,2.22
BCAT2,Model 0,"0.99(0.89,1.10)",0.904261949,0.927448153,0.99,0.89,1.1
BCHE,Model 0,"0.89(0.74,1.08)",0.231217135,0.301542668,0.89,0.74,1.08
BCL2,Model 0,"1.71(1.62,1.81)",1.85E-84,6.93E-83,1.71,1.62,1.81
BCL2L1,Model 0,"1.03(0.98,1.09)",0.230418204,0.300769404,1.03,0.98,1.09
BCL2L11,Model 0,"1.44(1.28,1.61)",9.58E-10,3.40E-09,1.44,1.28,1.61
BCL2L15,Model 0,"1.25(1.15,1.35)",8.92E-08,2.65E-07,1.25,1.15,1.35
BCL7A,Model 0,"1.04(0.96,1.13)",0.353787916,0.432242977,1.04,0.96,1.13
BCL7B,Model 0,"1.03(0.92,1.16)",0.630797312,0.699820726,1.03,0.92,1.16
BCR,Model 0,"1.12(1.07,1.18)",7.88E-06,1.99E-05,1.12,1.07,1.18
BDNF,Model 0,"0.84(0.79,0.90)",1.48E-07,4.31E-07,0.84,0.79,0.9
BECN1,Model 0,"1.26(1.15,1.37)",1.46E-07,4.28E-07,1.26,1.15,1.37
BEX3,Model 0,"0.98(0.87,1.11)",0.73739382,0.795415573,0.98,0.87,1.11
BGLAP,Model 0,"0.99(0.94,1.05)",0.842400421,0.881336162,0.99,0.94,1.05
BGN,Model 0,"1.07(1.03,1.11)",0.000925169,0.001881262,1.07,1.03,1.11
BHLHE40,Model 0,"0.96(0.89,1.04)",0.342027786,0.420160343,0.96,0.89,1.04
BHMT2,Model 0,"0.98(0.79,1.22)",0.85125048,0.887099001,0.98,0.79,1.22
BID,Model 0,"1.07(1.00,1.14)",0.055810628,0.086134796,1.07,1,1.14
BIN2,Model 0,"0.98(0.94,1.04)",0.535135145,0.613263196,0.98,0.94,1.04
BIRC2,Model 0,"1.06(0.98,1.14)",0.128184896,0.179779009,1.06,0.98,1.14
BLMH,Model 0,"1.46(1.28,1.67)",3.52E-08,1.09E-07,1.46,1.28,1.67
BLNK,Model 0,"1.93(1.77,2.11)",3.37E-50,5.32E-49,1.93,1.77,2.11
BLOC1S2,Model 0,"1.07(0.99,1.15)",0.074472566,0.111119005,1.07,0.99,1.15
BLOC1S3,Model 0,"1.14(1.00,1.30)",0.049637192,0.077446725,1.14,1,1.3
BLVRB,Model 0,"1.18(1.10,1.25)",9.86E-07,2.69E-06,1.18,1.1,1.25
BMP10,Model 0,"0.85(0.71,1.02)",0.073245574,0.109400038,0.85,0.71,1.02
BMP4,Model 0,"1.01(0.92,1.12)",0.796476106,0.844787306,1.01,0.92,1.12
BMP6,Model 0,"1.31(1.17,1.47)",4.71E-06,1.21E-05,1.31,1.17,1.47
BMPER,Model 0,"2.44(2.06,2.87)",4.56E-26,3.27E-25,2.44,2.06,2.87
BNIP2,Model 0,"1.24(1.07,1.45)",0.005209287,0.009651725,1.24,1.07,1.45
BNIP3L,Model 0,"1.81(1.64,2.00)",9.61E-33,8.74E-32,1.81,1.64,2
BOC,Model 0,"0.95(0.78,1.16)",0.595751421,0.669332108,0.95,0.78,1.16
BOLA1,Model 0,"1.34(1.23,1.46)",7.03E-12,2.86E-11,1.34,1.23,1.46
BOLA2_BOLA2B,Model 0,"1.40(1.26,1.54)",7.20E-11,2.77E-10,1.4,1.26,1.54
BPIFA2,Model 0,"0.93(0.89,0.98)",0.006644548,0.012138578,0.93,0.89,0.98
BPIFB1,Model 0,"1.02(0.95,1.09)",0.605476459,0.678691462,1.02,0.95,1.09
BPIFB2,Model 0,"1.07(0.99,1.15)",0.085848905,0.125969248,1.07,0.99,1.15
BRAP,Model 0,"1.03(0.98,1.08)",0.269932797,0.343893441,1.03,0.98,1.08
